kind,ckpt,rec_source,tie_break,n_layers,codebook_size,embed_dim,hidden_sizes,rqvae_params,beta,gamma,ema_decay,temperature,margin,gpt_d_model,gpt_n_heads,gpt_n_layers,gpt_dropout,gpt_batch_size,gpt_lr,gpt_warmup_steps,gpt_epochs,beam_size,max_hist_len,gpt_vocab,sid_token_levels,sid_max_dupe_with_disambig,entropy_mean,entropy_min,unique_total_base,n_collisions,max_dupe,cfr,pas_emb,pas_behavioral,cur_total,zipf_alpha_full,entropy_l0,entropy_l1,entropy_l2,entropy_l3,unique_l0,unique_l1,unique_l2,unique_l3,Recall@1,Recall@5,Recall@10,Recall@20,NDCG@1,NDCG@5,NDCG@10,NDCG@20,val_loss_best
anti,rqvae_anti_s1.pt,full_sweep,count,4,256,32,"(1024, 512, 256, 128)",1600900,0.25,0.05,0.99,0.07,0.3,256,8,4,0.1,256,0.001,500,15,32,20,1070,5,44,5.9573410145512575,2.464228598745697,9088,3013,44,0.7510123130319808,0.9065438191784491,0.005725239981895511,2.115964889526367e-06,0.35785628758641475,2.464228598745697,6.312355858201776,7.430823499522752,7.621956101734808,7,105,254,256,0.0052,0.0183,0.0323,0.0519,0.0052,0.0115,0.016,0.0209,1.6092
improved,rqvae_improved_s1.pt,full_sweep,count,4,256,32,"(1024, 512, 256, 128)",1600900,0.25,0.1,0.99,0.07,,256,8,4,0.1,256,0.001,500,15,32,20,1043,5,17,7.478433632574479,7.384658230374368,11580,521,17,0.9569457069663664,0.981666608435149,0.03327775372537841,2.6961788535118103e-06,0.0971314630947739,7.5162770250379705,7.384658230374368,7.41483296817592,7.59796630670966,242,254,255,256,0.0063,0.0257,0.0459,0.079,0.0063,0.016,0.0225,0.0308,1.5083
improved,rqvae_improved_s1.pt,full_sweep,popularity,4,256,32,"(1024, 512, 256, 128)",1600900,0.25,0.1,0.99,0.07,,256,8,4,0.1,256,0.001,500,15,32,20,1043,5,17,7.478433632574479,7.384658230374368,11580,521,17,0.9569457069663664,0.981666608435149,0.03327775372537841,2.6961788535118103e-06,0.0971314630947739,7.5162770250379705,7.384658230374368,7.41483296817592,7.59796630670966,242,254,255,256,0.0058,0.0253,0.044,0.0769,0.0058,0.0153,0.0213,0.0296,1.5089
improved,rqvae_improved_s2.pt,full_sweep,count,4,256,32,"(1024, 512, 256, 128)",1600900,0.25,0.1,0.99,0.07,,256,8,4,0.1,256,0.001,500,15,32,20,1035,5,9,7.697467817304023,7.616287362545525,11674,427,9,0.9647136600280969,0.9843283782732811,0.04827355193702851,2.718064934015274e-06,0.08520212682178357,7.693712925610228,7.759557090718116,7.616287362545525,7.7203138903422275,256,256,256,256,0.0075,0.0254,0.0456,0.0813,0.0075,0.0163,0.0227,0.0317,1.5135
improved,rqvae_improved_s2.pt,full_sweep,popularity,4,256,32,"(1024, 512, 256, 128)",1600900,0.25,0.1,0.99,0.07,,256,8,4,0.1,256,0.001,500,15,32,20,1035,5,9,7.697467817304023,7.616287362545525,11674,427,9,0.9647136600280969,0.9843283782732811,0.04827355193702851,2.718064934015274e-06,0.08520212682178357,7.693712925610228,7.759557090718116,7.616287362545525,7.7203138903422275,256,256,256,256,0.006,0.0245,0.0436,0.0792,0.006,0.015,0.0211,0.03,1.5151
improved,rqvae_improved_s3.pt,full_sweep,count,4,256,32,"(1024, 512, 256, 128)",1600900,0.25,0.1,0.99,0.07,,256,8,4,0.1,256,0.001,500,15,32,20,1037,5,11,7.82418591865426,7.732116198723627,11756,345,11,0.9714899595074787,0.9866839073799752,0.05134074496626982,2.7371570467948914e-06,0.07195649543374494,7.732116198723627,7.892257767019737,7.841465928770813,7.830903780102863,256,256,256,256,0.0064,0.0279,0.0474,0.0817,0.0064,0.017,0.0233,0.0319,1.4982
improved,rqvae_improved_s3.pt,full_sweep,popularity,4,256,32,"(1024, 512, 256, 128)",1600900,0.25,0.1,0.99,0.07,,256,8,4,0.1,256,0.001,500,15,32,20,1037,5,11,7.82418591865426,7.732116198723627,11756,345,11,0.9714899595074787,0.9866839073799752,0.05134074496626982,2.7371570467948914e-06,0.07195649543374494,7.732116198723627,7.892257767019737,7.841465928770813,7.830903780102863,256,256,256,256,0.0063,0.0277,0.0489,0.0824,0.0063,0.017,0.0238,0.0322,1.4987
improved,rqvae_improved_s4.pt,full_sweep,count,4,256,32,"(1024, 512, 256, 128)",1600900,0.25,0.1,0.99,0.07,,256,8,4,0.1,256,0.001,500,15,32,20,1036,5,10,7.706658309231521,7.626672304380543,11725,376,10,0.9689281877530782,0.98076341415355,0.04074899483545242,2.7299392968416214e-06,0.0768599820405948,7.732877004591506,7.74856515937613,7.626672304380543,7.7185187685779075,256,256,256,256,0.0067,0.026,0.0467,0.0824,0.0067,0.0163,0.023,0.0319,1.5057
improved,rqvae_improved_s4.pt,full_sweep,popularity,4,256,32,"(1024, 512, 256, 128)",1600900,0.25,0.1,0.99,0.07,,256,8,4,0.1,256,0.001,500,15,32,20,1036,5,10,7.706658309231521,7.626672304380543,11725,376,10,0.9689281877530782,0.98076341415355,0.04074899483545242,2.7299392968416214e-06,0.0768599820405948,7.732877004591506,7.74856515937613,7.626672304380543,7.7185187685779075,256,256,256,256,0.0066,0.0267,0.0482,0.0849,0.0066,0.0168,0.0237,0.0329,1.5035
improved,rqvae_improved_s5.pt,full_sweep,count,4,256,32,"(1024, 512, 256, 128)",1600900,0.25,0.1,0.99,0.07,,256,8,4,0.1,256,0.001,500,15,32,20,1032,5,6,7.819928979490472,7.733859753781273,11754,347,6,0.9713246839104206,0.983277140482771,0.03763586278226361,2.7366913855075836e-06,0.07358139944410985,7.733859753781273,7.8809731062002975,7.8407536455067035,7.824129412473615,256,256,256,256,0.0056,0.0262,0.048,0.085,0.0056,0.0157,0.0227,0.032,1.5022
